rank,strategy,seed,val_mse,val_relative_mse,condition,spectral_gap,spectral_radius
8,svd_sqrt,7,0.8716198028216622,0.2024013762049454,224.3693799685938,1.6590309224664983,0.980195071608224
8,svd_sqrt,11,0.8683918330559475,0.2016517999323394,223.37604437623492,1.6325777329891111,0.9825352540946484
8,svd_sqrt,19,0.8702666965200772,0.2020871674447659,220.76100843889247,1.547304316951534,0.981786757924661
8,svd_sqrt,29,0.8695763987600662,0.201926871388888,218.07706880590345,1.5855213591162909,0.9806497353435673
8,svd_sqrt,37,0.8697215596886319,0.2019605796314242,221.09317663616943,1.5686891792050195,0.9792798019685376
8,svd_full,7,2.4815327104832705,0.169306113238794,382.9513869263973,1.9748782267862075,0.9802665511833988
8,svd_full,11,2.470940841762328,0.1685834678682523,381.512604921461,1.941015030776534,0.9826100663832816
8,svd_full,19,2.476663736904383,0.1689739205626219,377.15902982117126,1.8269041196005764,0.9818568779993546
8,svd_full,29,2.474536819070379,0.1688288085557835,372.5092034101777,1.8805075263463196,0.9807172983323156
8,svd_full,37,2.4741579247412875,0.1688029579490533,377.6804210931335,1.857337217440579,0.979354024356998
8,svd_noscale,7,0.3294761978343716,0.2465990303911794,136.43949527951315,1.4366803531083006,0.980017335131889
8,svd_noscale,11,0.3284365898860629,0.2458209277126703,135.69865100885093,1.415068739671809,0.9823483034905276
8,svd_noscale,19,0.3290824182555789,0.246304302993703,134.10813766267026,1.3530492352592425,0.9816151999948356
8,svd_noscale,29,0.3288503051513998,0.2461305761302516,132.4775628032077,1.378345718728235,0.9804802122986436
8,svd_noscale,37,0.3290002928572337,0.2462428355986816,134.3130263301199,1.3665055080044677,0.9790997314824152
8,pca,7,0.8661079227726661,0.2019316181654571,220.1214758291571,1.657333875977578,0.9801948264853242
8,pca,11,0.8630057964423934,0.2012083625836119,219.22009179486068,1.6298390392835234,0.9825264267944864
8,pca,19,0.8647172575930131,0.2016073868974244,216.65768112459548,1.546189146089736,0.9817874644768232
8,pca,29,0.8641080925268773,0.2014653610778927,214.21945556109137,1.5837441717245866,0.980644984597158
8,pca,37,0.8642261161421272,0.2014928780870119,216.88077278670755,1.5672331246398066,0.9792536446629476
8,change_a_b,7,2.6904139465682952,0.1113212912305478,13678.647396247108,8.624964483249224,0.9796588907503454
8,change_a_b,11,2.6747586024206673,0.110673519861612,13649.9508400444,8.5598673749909,0.9819472384716954
8,change_a_b,19,2.6824581431199395,0.1109921038526066,13518.751617627846,7.969765767778161,0.9812367125748832
8,change_a_b,29,2.679378085029888,0.1108646602508192,13342.72385072135,8.248536498974987,0.9801286021012652
8,change_a_b,37,2.676248142607809,0.1107351525844069,13529.291180756396,8.181152259694631,0.9786658813534912
8,change_b,7,5745.862613705554,0.1113217173498751,14728.080256636054,8.586698499315313,0.9803185987791512
8,change_b,11,5712.031314549266,0.1106662616636789,14703.23256510349,8.500152484982497,0.9826648397787304
8,change_b,19,5726.91983483105,0.1109547154186666,14566.50600393803,7.91268469571493,0.9819091737145574
8,change_b,29,5721.402793326332,0.1108478269362426,14361.051878160057,8.186076592710716,0.9807660592539484
8,change_b,37,5714.613691966239,0.1107162932617574,14565.181893539311,8.12732896012478,0.9794095257405996
8,mlp_log_singular_values,7,280.77880407425783,0.1084847127917634,2339201.959225997,95.54857825335374,0.9793015990010184
8,mlp_log_singular_values,11,279.11436832432753,0.1078416235283595,2334141.7121266727,93.34943426502709,0.9815458131095768
8,mlp_log_singular_values,19,279.97101714846355,0.1081726075638397,2311300.504362557,89.1742597380617,0.9808697683594048
8,mlp_log_singular_values,29,279.6162962564945,0.1080355537922298,2282520.752802363,91.8516206915838,0.979770664919253
8,mlp_log_singular_values,37,279.2582937684821,0.1078972321079459,2314928.3119920697,93.17353233448596,0.9782378597398668
16,svd_sqrt,7,0.5928504732910922,0.2386315912463627,280.83363950618235,1.7431801734439576,0.9879579144762528
16,svd_sqrt,11,0.5937089762522276,0.2389771521203689,276.9849105131953,1.660392555561225,0.989187862859498
16,svd_sqrt,19,0.592998547526013,0.2386911934426898,272.88350292660726,1.6604866203847006,0.9887974633708392
16,svd_sqrt,29,0.5943688524498025,0.2392427626143249,269.2827531014859,1.685869707001231,0.986218319138544
16,svd_sqrt,37,0.5960150235402477,0.2399053722342447,272.9431079334386,1.5814788051215527,0.985431881759526
16,svd_full,7,1.5000979437790694,0.1884411830326844,510.842213870838,2.149662903691498,0.98802329940634
16,svd_full,11,1.5012116034544127,0.1885810801291292,505.289431730451,2.0460750866709607,0.9892592995520916
16,svd_full,19,1.500375380592879,0.1884760344379729,484.54994388207245,2.0406422283261048,0.9888622283671206
