rank,strategy,n_seeds,val_relative_mse_mean,val_relative_mse_ci_low,val_relative_mse_ci_high,val_mse_mean,val_mse_ci_low,val_mse_ci_high,condition_mean,condition_ci_low,condition_ci_high,spectral_gap_mean,spectral_gap_ci_low,spectral_gap_ci_high,spectral_radius_mean,spectral_radius_ci_low,spectral_radius_ci_high
8,change_a_b,5,0.1109173455559985,0.11059824642362213,0.11123644468837486,2.6806513839493196,2.6729393933085963,2.688363374590043,13543.87297707942,13378.772118186624,13708.973835972216,8.31685727693758,7.978210604584605,8.655503949290553,0.980327465050336,0.9787207456659932,0.9819341844346787
8,change_b,5,0.1109013629260441,0.11057761596361358,0.11122510988847463,5724.166049675688,5707.455872973294,5740.876226378081,14584.810519475388,14403.44864277396,14766.172396176817,8.262588246569647,7.918003653537568,8.607172839601727,0.9810136394533974,0.9794131443821704,0.9826141345246243
8,mlp_log_singular_values,5,0.10808634595682767,0.10776713314823122,0.10840555876542413,279.7477559144051,278.92157323542307,280.57393859338714,2316418.648101932,2288580.233430099,2344257.0627737646,92.61948505650247,89.71557204218992,95.52339807081502,0.979945141025824,0.9783290109336124,0.9815612711180356
8,pca,5,0.2015411213622796,0.20121515540652116,0.20186708731803807,0.8644330370954153,0.8630349316407003,0.8658311425501303,217.41989541928243,214.5309457283048,220.30884511026005,1.5968678715430462,1.5400964647534088,1.6536392783326836,0.9808814694033477,0.9792740145244586,0.9824889242822369
8,random_orthogonal,5,0.8147782347642959,0.8144805486902127,0.8150759208383791,0.2141817856021384,0.2141035324871488,0.214260038717128,22.34591918228629,20.378344759661996,24.313493604910587,1.289025703265048,1.2756252612321,1.3024261452979962,0.8892889633753341,0.883818388072591,0.8947595386780772
8,svd_full,5,0.168899053634901,0.1685675818396975,0.16923052543010447,2.4755664065923297,2.4707079990211875,2.480424814163472,378.3625292344681,373.2748991724729,383.45015929646337,1.8961284241900433,1.820710460817168,1.9715463875629187,0.9809609636510697,0.9793604643325403,0.982561462969599
8,svd_noscale,5,0.2462195345652972,0.24586913733006976,0.2465699318005246,0.3289691607969294,0.32850100182399566,0.3294373197698631,134.6073746168724,132.70196372570948,136.5127855080353,1.3899299109544112,1.3466465433680017,1.4332132785408207,0.9807121564796623,0.9791137155562653,0.9823105974030593
8,svd_sqrt,5,0.20200555892047256,0.20166739545210938,0.20234372238883575,0.8699152581692771,0.8684589934879651,0.871371522850589,221.53533564515882,218.48284210717605,224.5878291831416,1.5986247021456907,1.5413755929457709,1.6558738113456106,0.9808893241879277,0.9792890192104009,0.9824896291654546
16,change_a_b,5,0.1000050211099903,0.09982925101138013,0.10018079120860046,16734.629284454382,16705.216286918014,16764.04228199075,29703.62243621449,28736.893172856853,30670.351699572126,11.50106301274118,11.007691813811045,11.994434211671317,0.9876378126499532,0.9856045275250176,0.9896710977748888
16,change_b,5,0.10000497296373519,0.09982917364653494,0.10018077228093543,2039.4486816249548,2035.863523056644,2043.0338401932656,29701.412518263947,28734.80062345473,30668.024413073166,11.500938884901872,11.007600663063283,11.994277106740462,0.9876372296083881,0.9856040685871936,0.9896703906295825
16,mlp_log_singular_values,5,0.09622932749510521,0.09605638420323004,0.09640227078698038,325.72779242170617,325.1423946210252,326.31319022238716,1910409.751448941,1873290.1937621327,1947529.3091357492,93.27982511028215,89.1717329529225,97.3879172676418,0.9872672822189802,0.9852527692520769,0.9892817951858834
16,pca,5,0.23791506758813347,0.23727989216640308,0.23855024300986385,0.5878165934006299,0.5862472659242394,0.5893859208770204,272.83841160788677,266.42789075729377,279.24893245847977,1.6644792918397733,1.5926343889517807,1.736324194727766,0.9875151704980032,0.9854964467057518,0.9895338942902546
16,random_orthogonal,5,0.6957087793134672,0.6940887742117123,0.6973287844152221,0.2173401782612634,0.2168340869080006,0.2178462696145262,65.35424421732603,60.554743272907956,70.1537451617441,1.9499371822840765,1.889196795996959,2.010677568571194,0.9215409188116921,0.9177158375812507,0.9253660000421334
16,svd_full,5,0.188731843580475,0.18827645982281688,0.18918722733813315,1.502411765434513,1.4987866542592403,1.5060368766097858,498.5610992802475,485.60507822451575,511.51712033597926,2.055557276691871,1.964744803962068,2.146369749421674,0.9875840427311967,0.9855538290780117,0.9896142563843817
16,svd_noscale,5,0.30107048104594664,0.3001910361035063,0.301949925988387,0.253419732572279,0.252679478325662,0.254159986818896,172.0239858955747,166.83819943875704,177.20977235239235,1.410752057961447,1.350971351183761,1.4705327647391329,0.9873618674615459,0.9853429453215583,0.9893807896015334
16,svd_sqrt,5,0.2390896143315982,0.23844739447507216,0.23973183418812424,0.5939883746118767,0.5923928593495855,0.5955838898741679,274.5855827961819,269.08465433578124,280.0865112565825,1.6662815723025333,1.5939956597628726,1.738567484842194,0.987518688320932,0.9854916884324861,0.9895456882093779
32,change_a_b,5,0.09439652630254973,0.09386428712628415,0.0949287654788153,78621.95819082804,78178.66130371852,79065.25507793756,82498.9614453085,81960.4691249787,83037.45376563829,9.141190724775967,8.65933055096676,9.623050898585173,0.9919440430008913,0.9904654197908741,0.9934226662109086
32,change_b,5,0.09439649999816696,0.09386430860001724,0.09492869139631668,877.032811358458,872.0882496627479,881.9773730541682,82477.65616407423,81939.31949344398,83015.99283470448,9.141005782340073,8.659277142351268,9.622734422328879,0.9919426992007876,0.990464078729902,0.9934213196716731
32,mlp_log_singular_values,5,0.08952261474911676,0.08901446796806585,0.09003076153016766,476.84072124588675,474.1340858526496,479.5473566391239,9734575.485920101,9662312.5397603,9806838.432079902,73.31474490523036,70.42965910892006,76.19983070154065,0.9915395013814748,0.9900437314407808,0.9930352713221688
32,pca,5,0.3111175995719916,0.3098502277171312,0.31238497142685195,0.5086613244467126,0.5065892364415768,0.5107334124518484,471.8025362452041,461.5198510248332,482.08522146557505,1.7843758169015795,1.715931056427471,1.852820577375688,0.9918233824865856,0.990335717607416,0.9933110473657553
32,random_orthogonal,5,0.5598892282018053,0.5587982814502226,0.560980174953388,0.14651732352413938,0.14623183384136298,0.14680281320691577,114.25727015545235,109.2348147808637,119.27972553004099,1.696911165261389,1.613910796017801,1.7799115345049772,0.9723831896529214,0.9712261394908064,0.9735402398150363
32,svd_full,5,0.23797037685897132,0.23699782082270185,0.2389429328952408,1.114409168161232,1.109854713200598,1.118963623121866,845.7880104245475,834.0367613827233,857.5392594663716,1.9881529232422679,1.9221670759760965,2.0541387705084393,0.9918808856620209,0.9904020327654256,0.9933597385586163
32,svd_noscale,5,0.38703781107778956,0.38547323775284376,0.38860238440273537,0.2507430598810263,0.24972944857051202,0.25175667119154055,321.2244470888344,311.2489274950601,331.19996668260865,1.7018440959142391,1.6259515091842813,1.777736682644197,0.9916612276063613,0.9901896531367922,0.9931328020759305
32,svd_sqrt,5,0.31136418676234967,0.3101049823854674,0.31262339113923193,0.5110706458069665,0.509003797975853,0.5131374936380799,472.65527253312376,462.28368978664224,483.0268552796053,1.7894679942934886,1.7204215670324636,1.8585144215545135,0.9918144594221253,0.9903372557718871,0.9932916630723635
64,change_a_b,5,0.08928476416202033,0.08860825577024478,0.08996127255379588,3.489870331617964,3.4634276726973034,3.5163129905386246,235552.20497710668,231300.85838677463,239803.55156743873,9.849858927481842,9.360345547937742,10.339372307025942,0.9948954792421544,0.993692065257338,0.9960988932269708
64,change_b,5,0.08930980890894694,0.08859324442443348,0.0900263733934604,405.7914143198476,402.5356049168901,409.0472237228051,260521.36011978233,255542.2688709864,265500.4513685783,9.82757053062787,9.32529581267896,10.329845248576781,0.9951866736409668,0.9940114403652766,0.996361906916657
64,mlp_log_singular_values,5,0.08404164638629918,0.08342363532376094,0.08465965744883742,124.24020621506736,123.32658986942823,125.15382256070649,15072161.4424549,14757146.825662281,15387176.05924752,56.991916953634856,54.494159630611406,59.489674276658306,0.994450098438526,0.9932523760807634,0.9956478207962887
64,pca,5,0.3538776322484558,0.35200101761640856,0.35575424688050306,0.3592323222776669,0.35732731170096765,0.3611373328543661,802.9729893774506,779.6163219351378,826.3296568197635,2.0841607996787075,1.841006448387,2.3273151509704153,0.9950514552991251,0.993849203836901,0.9962537067613492
64,random_orthogonal,5,0.5982588581883712,0.5972988446971923,0.5992188716795501,0.19633496079195803,0.1960199061821172,0.19665001540179886,405.4431114408359,385.6532602034824,425.2329626781894,2.3191629697200864,2.0724656041039657,2.565860335336207,0.9846068541655356,0.983310963266635,0.9859027450644362
64,svd_full,5,0.268596516268333,0.2671028161353772,0.2700902164012888,0.7110157269645058,0.7070616761054115,0.7149697778236,1513.3830260314894,1470.8384252813787,1555.9276267816,2.2062124444993563,2.0101877887623143,2.4022371002363982,0.9951265495073987,0.9939514813807964,0.9963016176340009
64,svd_noscale,5,0.4300882127993466,0.4278418134878708,0.4323346121108224,0.19385496581806785,0.19284243943678095,0.19486749219935476,553.2888301120892,542.4453662503599,564.1322939738184,2.0764110260773703,1.8146213298355787,2.338200722319162,0.9949492601380943,0.9937838388788779,0.9961146813973106
64,svd_sqrt,5,0.3531523576856347,0.3512643992493258,0.3550403161219436,0.3593180570304563,0.35739713666188083,0.3612389773990317,808.0695756906813,785.0403106383233,831.0988407430393,2.0932817526183007,1.8545311603028778,2.3320323449337237,0.9950708170568122,0.9938979819936448,0.9962436521199797
