rank,metric,strategy_a,strategy_b,mean_a,mean_b,mean_diff_a_minus_b,t_stat,p_value,significant_p_lt_0_05
8,val_relative_mse,change_a_b,change_b,0.1109173455559985,0.1109013629260441,1.5982629954383597e-05,2.507452916786952,0.06623717869341611,False
8,val_relative_mse,change_a_b,mlp_log_singular_values,0.1109173455559985,0.10808634595682767,0.0028309995991708413,861.9721527248255,1.0868620168171491e-11,True
8,val_relative_mse,change_a_b,pca,0.1109173455559985,0.2015411213622796,-0.0906237758062811,-2483.2127964336337,1.577956513878847e-13,True
8,val_relative_mse,change_a_b,random_orthogonal,0.1109173455559985,0.8147782347642959,-0.7038608892082973,-4640.775163786608,1.2935672239597715e-14,True
8,val_relative_mse,change_a_b,svd_full,0.1109173455559985,0.168899053634901,-0.057981708078902496,-2284.7723591287377,2.201805495690085e-13,True
8,val_relative_mse,change_a_b,svd_noscale,0.1109173455559985,0.2462195345652972,-0.13530218900929863,-2317.030094182814,2.0817281399484168e-13,True
8,val_relative_mse,change_a_b,svd_sqrt,0.1109173455559985,0.20200555892047256,-0.09108821336447408,-2287.8819133983066,2.1898596279835964e-13,True
8,val_relative_mse,change_b,mlp_log_singular_values,0.1109013629260441,0.10808634595682767,0.002815016969216458,306.87743864914876,6.764888831120078e-10,True
8,val_relative_mse,change_b,pca,0.1109013629260441,0.2015411213622796,-0.09063975843623548,-2347.731448432293,1.9749543208837944e-13,True
8,val_relative_mse,change_b,random_orthogonal,0.1109013629260441,0.8147782347642959,-0.7038768718382518,-4610.502492040835,1.3278776762384443e-14,True
8,val_relative_mse,change_b,svd_full,0.1109013629260441,0.168899053634901,-0.057997690708856874,-2096.0246875587686,3.108601248044531e-13,True
8,val_relative_mse,change_b,svd_noscale,0.1109013629260441,0.2462195345652972,-0.13531817163925305,-2223.66224977105,2.454004595610968e-13,True
8,val_relative_mse,change_b,svd_sqrt,0.1109013629260441,0.20200555892047256,-0.09110419599442846,-2155.20204166002,2.7809851376446214e-13,True
8,val_relative_mse,mlp_log_singular_values,pca,0.10808634595682767,0.2015411213622796,-0.09345477540545194,-2467.891881146698,1.6175073322126782e-13,True
8,val_relative_mse,mlp_log_singular_values,random_orthogonal,0.10808634595682767,0.8147782347642959,-0.7066918888074681,-4682.623537123405,1.2479412584783775e-14,True
8,val_relative_mse,mlp_log_singular_values,svd_full,0.10808634595682767,0.168899053634901,-0.06081270767807334,-2277.628687630071,2.2295591320303486e-13,True
8,val_relative_mse,mlp_log_singular_values,svd_noscale,0.10808634595682767,0.2462195345652972,-0.13813318860846951,-2324.6790091035773,2.0544649579815657e-13,True
8,val_relative_mse,mlp_log_singular_values,svd_sqrt,0.10808634595682767,0.20200555892047256,-0.09391921296364492,-2295.8382678333887,2.1596607665988473e-13,True
